Ημερομηνία Εγγραφής,Α/α Εργασίας,Περιγραφή Εργασίας,Όνομα,Τηλέφωνο,Καταληκτική Ημερομηνία
2024-11-15 23:51:40,734095,Πειραματική εργασία,Αριάδνη,6925744190,2024-11-16 23:51:40.689723
2024-11-15 23:51:40,677727,Δημιουργία προγράμματος σε γλώσσα python,Αιμιλία,6949543141,2024-11-16 23:51:40.689723
2024-11-15 23:51:40,431103,Μελέτη αλγορίθμου μυρμηγκιών,Γιώργος,6959282888,2024-11-16 23:51:40.689723
2024-11-15 23:51:40,978015,Δημιουργία προγράμματος σε γλώσσα python,Ορφέας,6955044508,2024-11-16 23:51:40.689723
2024-11-15 23:51:40,623962,Κατηγοροιοποίηση μαθηματικών προβλημάτων,Χάρης,6995210717,2024-11-16 23:51:40.689723
2024-11-15 23:51:40,915926,Ερευνητική εργασία,Χαρά,6919237591,2024-11-16 23:51:40.689723
2024-11-15 23:51:40,855990,Εύρεση παραδειγμάτων εφαρμογής της Java,Νικολέτα,6999723883,2024-11-16 23:51:40.689723
2024-11-15 23:51:40,841659,Εύρεση ιστορικών πληροφοριών για την γλώσσα Java,Αριάδνη,6950814992,2024-11-16 23:51:40.689723
2024-11-15 23:51:40,789728,Αξιολόγηση γραπτών,Χάρης,6910594660,2024-11-16 23:51:40.689723
2024-11-15 23:51:40,607241,12,,,2025
